pc,effective_address,num_values,val0,val1,val2
6765468,69862592,1,134479933,NAN,NAN
6765496,8943776,1,6765512,NAN,NAN
6765512,281474976692496,2,69866304,6765600,NAN
6765516,281474976692480,2,9304038,1,NAN
6765520,281474976692464,2,46356912,0,NAN
6765524,281474976692448,3,281474976692512,10458672,0
6765512,281474976692560,2,69866336,6765600,NAN
6765516,281474976692544,2,9304038,2,NAN
6765520,281474976692528,2,46356912,1,NAN
6765524,281474976692512,3,281474976692576,10458672,0
6765568,9304038,1,101,NAN,NAN
6765592,69866344,1,69866272,NAN,NAN
6765468,69866272,1,3407933,NAN,NAN
6765496,8943776,1,6765512,NAN,NAN
6765512,281474976692560,2,69866336,6765600,NAN
6765516,281474976692544,2,9304038,1,NAN
6765520,281474976692528,2,46356912,0,NAN
6765524,281474976692512,3,281474976692576,10458672,0
6765512,281474976692624,2,69842816,4564640,NAN
6765516,281474976692608,2,46357248,55007232,NAN
6765520,281474976692592,2,46356912,46357248,NAN
6765524,281474976692576,3,281474976692640,10458672,0
4564644,69842840,1,69580800,NAN,NAN
4564616,69580800,1,33,NAN,NAN
4564632,69580832,1,69866464,NAN,NAN
6765468,69866464,1,536870959,NAN,NAN
6765496,8943664,1,6765536,NAN,NAN
6765544,9168463,1,2,NAN,NAN
6765560,9168952,1,9304038,NAN,NAN
6765568,9304039,1,101,NAN,NAN
6765592,69866480,1,69866432,NAN,NAN
6765468,69866432,1,536870984,NAN,NAN
6765496,8943864,1,6765536,NAN,NAN
6765544,9168488,1,3,NAN,NAN
6765560,9169152,1,9304178,NAN,NAN
6765568,9304180,1,101,NAN,NAN
6765592,69866456,1,19660800,NAN,NAN
6765468,19660800,1,59,NAN,NAN
6765496,8943760,1,6765512,NAN,NAN
6765512,281474976692496,2,69866432,6765600,NAN
6765516,281474976692480,2,9304178,3,NAN
6765520,281474976692464,2,46356912,2,NAN
6765524,281474976692448,3,281474976692512,10458672,0
6765568,9304179,1,101,NAN,NAN
6765592,69866448,1,52644608,NAN,NAN
6765468,52644608,1,536870979,NAN,NAN
6765496,8943824,1,6765512,NAN,NAN
6765512,281474976692496,2,69866432,6765600,NAN
6765516,281474976692480,2,9304178,2,NAN
6765520,281474976692464,2,46356912,1,NAN
6765524,281474976692448,3,281474976692512,10458672,0
6765568,9304178,1,101,NAN,NAN
6765592,69866440,1,69866368,NAN,NAN
6765468,69866368,1,536871023,NAN,NAN
6765544,9168527,1,2,NAN,NAN
6765560,9169464,1,9304038,NAN,NAN
6765568,9304039,1,101,NAN,NAN
6765592,69866384,1,19792896,NAN,NAN
6765468,19792896,1,54,NAN,NAN
6765496,8943720,1,6765512,NAN,NAN
6765512,281474976692432,2,69866368,6765600,NAN
6765516,281474976692416,2,9304038,2,NAN
6765520,281474976692400,2,46356912,1,NAN
6765524,281474976692384,3,281474976692448,10458672,0
6765568,9304038,1,101,NAN,NAN
6765592,69866376,1,69866272,NAN,NAN
6765468,69866272,1,3407933,NAN,NAN
6765496,8943776,1,6765512,NAN,NAN
6765512,281474976692432,2,69866368,6765600,NAN
6765516,281474976692416,2,9304038,1,NAN
6765520,281474976692400,2,46356912,0,NAN
6765524,281474976692384,3,281474976692448,10458672,0
6765512,281474976692496,2,69866432,6765600,NAN
6765516,281474976692480,2,9304178,1,NAN
6765520,281474976692464,2,46356912,0,NAN
6765524,281474976692448,3,281474976692512,10458672,0
6765512,281474976692560,2,69866464,6765600,NAN
6765516,281474976692544,2,9304038,2,NAN
6765520,281474976692528,2,46356912,1,NAN
6765524,281474976692512,3,281474976692576,10458672,0
6765568,9304038,1,101,NAN,NAN
6765592,69866472,1,19660800,NAN,NAN
6765468,19660800,1,59,NAN,NAN
6765496,8943760,1,6765512,NAN,NAN
6765512,281474976692560,2,69866464,6765600,NAN
6765516,281474976692544,2,9304038,1,NAN
6765520,281474976692528,2,46356912,0,NAN
6765524,281474976692512,3,281474976692576,10458672,0
6765512,281474976692624,2,69580800,4564640,NAN
6765516,281474976692608,2,46357248,55007232,NAN
6765520,281474976692592,2,46356912,46357248,NAN
6765524,281474976692576,3,281474976692640,10458672,0
4564644,69580824,1,55007232,NAN,NAN
4788896,10461152,1,81395712,NAN,NAN
4789156,10461728,1,20084224,NAN,NAN
4789160,20084248,1,20753600,NAN,NAN
4789164,20753600,1,58217,NAN,NAN
8367528,10749808,1,262145,NAN,NAN
8367764,10659948,1,1,NAN,NAN
8367772,10749800,1,12730560,NAN,NAN
8367808,10655600,1,0,NAN,NAN
8367836,281474976692604,1,0,NAN,NAN
8367852,10659648,1,11145216,NAN,NAN
7388480,11675104,1,10805904,NAN,NAN
7383048,10805947,1,1,NAN,NAN
7383084,10805912,1,57,NAN,NAN
7383440,11681912,1,111591424,NAN,NAN
7391568,10805920,2,11675088,11675088,NAN
7391580,10805920,1,11675088,NAN,NAN
7383112,10805947,1,1,NAN,NAN
7383116,10805912,1,57,NAN,NAN
7383364,281474976692416,1,11145216,NAN,NAN
7383368,281474976692384,2,5472,10458672,NAN
7383372,281474976692400,2,57,10653696,NAN
7383376,281474976692368,3,281474976692432,281474976692432,7388704
7388616,281474976692512,1,69865504,NAN,NAN
7388620,281474976692448,2,465768,10458672,NAN
7388624,281474976692464,2,57,10653696,NAN
7388628,281474976692480,2,10657792,0,NAN
7388632,281474976692496,2,10458672,84088272,NAN
7388636,281474976692432,3,281474976692528,281474976692528,8367860
8367864,10805904,1,14073,NAN,NAN
8367868,10659648,1,11145216,NAN,NAN
8367900,10523312,1,1073741824,NAN,NAN
8368152,10655600,1,1,NAN,NAN
8367684,9770632,1,0,NAN,NAN
8367696,281474976692576,1,46356912,NAN,NAN
8367700,281474976692544,2,465768,10458672,NAN
8367704,281474976692560,2,58217,46357248,NAN
8367708,281474976692528,3,281474976692608,69866464,4789192
4789200,10459048,1,58217,NAN,NAN
4789208,9191568,1,0,NAN,NAN
8367528,10749808,1,262145,NAN,NAN
8367540,10749800,1,12730560,NAN,NAN
8367576,10657908,1,84,NAN,NAN
8367596,10658816,1,237568,NAN,NAN
8367604,12732624,1,115752960,NAN,NAN
8367616,12730576,1,1189520,NAN,NAN
8367628,12732632,2,1,0,NAN
8367652,12732624,1,115752960,NAN,NAN
8367656,115752960,1,0,NAN,NAN
8367684,9770632,1,0,NAN,NAN
8367696,281474976692576,1,46356912,NAN,NAN
8367700,281474976692544,2,232900,10458672,NAN
8367704,281474976692560,2,58217,46357248,NAN
8367708,281474976692528,3,281474976692608,69866464,4789252
4789264,9191616,1,0,NAN,NAN
4789332,9189824,2,9189832,262139,NAN
4789332,9189760,2,9189768,1021,NAN
4789332,9189728,2,9189736,61,NAN
4789332,9189712,2,9189720,13,NAN
4789332,9189720,2,9189728,31,NAN
4789356,9189720,1,31,NAN,NAN
8367528,10749808,1,262145,NAN,NAN
8367540,10749800,1,12730560,NAN,NAN
8367576,10655977,1,6,NAN,NAN
8367596,10658192,1,80,NAN,NAN
8367604,12730752,1,19171360,NAN,NAN
8367616,12730576,1,951952,NAN,NAN
8367628,12730760,2,2,0,NAN
8367652,12730752,1,19171360,NAN,NAN
8367656,19171360,1,19171520,NAN,NAN
8367684,9770632,1,0,NAN,NAN
8367696,281474976692576,1,46356912,NAN,NAN
8367700,281474976692544,2,232900,10458672,NAN
8367704,281474976692560,2,31,46357248,NAN
8367708,281474976692528,3,281474976692608,69866464,4789380
8367528,10749808,1,262145,NAN,NAN
8367540,10749800,1,12730560,NAN,NAN
8367576,10655999,1,17,NAN,NAN
8367596,10658280,1,256,NAN,NAN
8367604,12731016,1,20766976,NAN,NAN
8367616,12730576,1,951872,NAN,NAN
8367628,12731024,2,2,0,NAN
8367652,12731016,1,20766976,NAN,NAN
8367656,20766976,1,20767232,NAN,NAN
8367684,9770632,1,0,NAN,NAN
8367696,281474976692576,1,46356912,NAN,NAN
8367700,281474976692544,2,19171360,10458672,NAN
8367704,281474976692560,2,31,46357248,NAN
8367708,281474976692528,3,281474976692608,69866464,4789408
4789432,10459048,1,58217,NAN,NAN
4789456,10461088,1,115286016,NAN,NAN
4789484,19171376,1,0,NAN,NAN
4789488,10461112,1,115752960,NAN,NAN
4789576,19171384,2,20766976,31,NAN
4789600,10461144,1,116707344,NAN,NAN
4789604,10465520,1,116707328,NAN,NAN
4789616,10465544,1,116711392,NAN,NAN
4789648,281474976692624,2,55007232,4564660,NAN
4789668,281474976692608,3,281474976692640,46357248,55007232
4564660,84088288,1,46356912,NAN,NAN
4564664,46356912,2,55006080,69580288,NAN
4564668,55006104,1,69841856,NAN,NAN
4564672,69580312,1,55006336,NAN,NAN
4564684,69841856,1,32,NAN,NAN
4783944,69841856,1,32,NAN,NAN
4784020,69841888,1,69864864,NAN,NAN
4784024,69864864,1,536870959,NAN,NAN
4784248,69841888,1,69864864,NAN,NAN
4784252,69864864,1,47,NAN,NAN
4784308,69864880,1,19854080,NAN,NAN
4784316,69864872,1,69864832,NAN,NAN
4784932,281474976689160,1,69864832,NAN,NAN
4784936,69864832,1,2147811389,NAN,NAN
4784984,281474976689152,1,19854080,NAN,NAN
4779960,19854080,1,327748,NAN,NAN
4782216,19854080,1,327748,NAN,NAN
4782260,8436168,1,4782528,NAN,NAN
4782528,19854088,1,21573971,NAN,NAN
4782580,281474976689008,2,19854080,4780308,NAN
4782584,281474976688992,2,5,69864864,NAN
4782588,281474976688976,2,5,1,NAN
4782592,281474976688960,2,69864832,1,NAN
4782596,281474976688944,3,281474976689024,69865504,84088272
4780320,19854080,1,327748,NAN,NAN
4780328,10461128,1,19171360,NAN,NAN
7321452,19171392,2,31,0,NAN
7321780,19171384,2,20766976,31,NAN
7321796,19171416,1,0,NAN,NAN
7321812,20767144,1,0,NAN,NAN
7321984,19171400,1,0,NAN,NAN
7322024,281474976689008,2,19854080,4780420,NAN
7322028,281474976688992,2,21582748,19171360,NAN
7322032,281474976688976,2,5,1,NAN
7322036,281474976688960,2,69864832,10458672,NAN
7322040,281474976688944,2,281474976689024,84088272,NAN
4780428,20767144,1,0,NAN,NAN
4781944,10461136,1,0,NAN,NAN
4781984,10465544,1,116711392,NAN,NAN
4781988,10465536,1,116707344,NAN,NAN
4782020,10465528,1,116707344,NAN,NAN
4782052,10465560,1,15,NAN,NAN
4782072,10465520,1,116707328,NAN,NAN
4782076,10465544,1,116711392,NAN,NAN
7205608,9766528,1,4,NAN,NAN
7205664,10492096,1,20843904,NAN,NAN
7205672,20843946,1,447,NAN,NAN
7205680,20843948,1,3649,NAN,NAN
7205692,20844408,1,1,NAN,NAN
7206196,10482936,1,16,NAN,NAN
7206556,20844408,1,1,NAN,NAN
7206584,20843920,1,81657856,NAN,NAN
7206588,281474976688944,2,21582748,5,NAN
7206608,10482936,1,16,NAN,NAN
7206612,10493144,1,35864096,NAN,NAN
7206624,281474976688960,2,69866464,4782120,NAN
7206628,281474976688928,2,10462768,116707344,NAN
7206632,281474976688912,2,10458672,5,NAN
7206636,281474976688896,2,84088272,69864832,NAN
7206640,281474976688880,2,0,69865504,NAN
4782152,281474976689008,2,19854080,4780448,NAN
4782156,281474976688992,2,21582748,0,NAN
4782160,281474976688976,2,281474976689024,20767144,NAN
4780460,116707360,1,0,NAN,NAN
4782924,19854080,1,327748,NAN,NAN
4782952,8436936,1,4783024,NAN,NAN
4783032,9169120,1,9340790,NAN,NAN
4783044,9168484,1,1,NAN,NAN
4783292,9340790,1,115,NAN,NAN
4782996,281474976689008,2,69866464,4780468,NAN
4783000,281474976688992,2,116707344,19854080,NAN
4783004,281474976688976,2,20767144,0,NAN
4783008,281474976688960,2,10458672,5,NAN
4783012,281474976688944,2,84088272,69864832,NAN
4783016,281474976688928,3,281474976689024,0,69865504
4780468,10461096,1,0,NAN,NAN
4781212,10465544,1,116711392,NAN,NAN
4781216,10465536,1,116707376,NAN,NAN
4781252,10465528,1,116707376,NAN,NAN
4781280,10465560,1,15,NAN,NAN
4781300,10465520,1,116707328,NAN,NAN
4781304,10465544,1,116711392,NAN,NAN
4781336,10461104,1,69841856,NAN,NAN
4781352,281474976689104,2,69841856,4785000,NAN
4781356,281474976689088,2,281474976689168,69864864,NAN
4781360,281474976689072,2,10458672,1,NAN
4781364,281474976689056,2,69864832,1,NAN
4781368,281474976689040,2,69865504,84088272,NAN
4781372,281474976689024,2,281474976689120,0,NAN
4785004,69864832,1,61,NAN,NAN
6762632,69864864,1,47,NAN,NAN
6762688,69864872,1,69864832,NAN,NAN
6762692,69864832,1,61,NAN,NAN
6762932,281474976689080,1,4788172,NAN,NAN
6762936,281474976689104,2,69841856,4785084,NAN
6762940,281474976689088,2,281474976689200,69864864,NAN
6762944,281474976689072,2,281474976689120,0,NAN
4788408,69864832,1,2147811389,NAN,NAN
4788444,69864840,1,27469,NAN,NAN
4787116,9913996,1,0,NAN,NAN
4787344,10461088,1,115286016,NAN,NAN
4787352,115505800,2,115505800,0,NAN
4788236,69864832,1,2147811389,NAN,NAN
4788240,10459604,1,55922721,NAN,NAN
4788536,281474976689104,2,69841856,4785084,NAN
4788540,281474976689088,2,281474976689200,69864864,NAN
4788544,281474976689072,2,10458672,0,NAN
4788548,281474976689056,2,69864832,1,NAN
4788552,281474976689040,3,281474976689120,69865504,84088272
4785196,281474976689160,1,69864832,NAN,NAN
4785200,69864832,1,61,NAN,NAN
4785220,281474976689168,2,116707344,0,NAN
4785236,69864840,1,27469,NAN,NAN
6765468,69864832,1,2147811389,NAN,NAN
6765496,8943776,1,6765512,NAN,NAN
6765512,281474976689104,2,69841856,4785252,NAN
6765516,281474976689088,2,0,69864832,NAN
6765520,281474976689072,2,10458672,61,NAN
6765524,281474976689056,3,281474976689120,0,1
4785260,10461088,1,115286016,NAN,NAN
4785268,115505800,1,0,NAN,NAN
4785276,10461112,1,115752960,NAN,NAN
4785280,115752960,2,58217,0,NAN
4785536,10461088,1,115286016,NAN,NAN
4785544,115505800,1,0,NAN,NAN
4785548,10461120,1,0,NAN,NAN
4785652,10465544,1,116711392,NAN,NAN
4785656,10465536,1,116707408,NAN,NAN
4785692,10465528,1,116707408,NAN,NAN
4785720,10465560,1,15,NAN,NAN
4785740,10465520,1,116707328,NAN,NAN
4785744,10465544,1,116711392,NAN,NAN
4785772,10461088,1,115286016,NAN,NAN
4785788,116707360,1,116707376,NAN,NAN
4785808,10461096,1,0,NAN,NAN
4785832,10465544,1,116711392,NAN,NAN
4785836,10465536,1,116707424,NAN,NAN
4785872,10465528,1,116707424,NAN,NAN
4785900,10465560,1,15,NAN,NAN
4785920,10465520,1,116707328,NAN,NAN
4785924,10465544,1,116711392,NAN,NAN
4786316,10461104,1,69841856,NAN,NAN
4786340,69841856,1,32,NAN,NAN
4786728,10459044,1,0,NAN,NAN
4784896,281474976692624,2,69866464,4564708,NAN
4784900,281474976692608,2,55007232,69841856,NAN
4784904,281474976692592,2,46357248,46357248,NAN
4784908,281474976692576,2,0,46356912,NAN
4784912,281474976692560,2,84088272,10458672,NAN
4784916,281474976692544,3,281474976692640,0,69865504
4564708,84088288,1,46356912,NAN,NAN
4564712,46356920,1,69580288,NAN,NAN
4564716,69841880,1,69841984,NAN,NAN
4564720,69580312,1,55006336,NAN,NAN
4564684,69841984,1,32,NAN,NAN
4783944,69841984,1,32,NAN,NAN
4784020,69842016,1,69864992,NAN,NAN
4784024,69864992,1,536870959,NAN,NAN
4784248,69842016,1,69864992,NAN,NAN
4784252,69864992,1,47,NAN,NAN
4784308,69865008,1,19854128,NAN,NAN
4784316,69865000,1,69864960,NAN,NAN
4784932,281474976689160,1,69864960,NAN,NAN
4784936,69864960,1,2147811389,NAN,NAN
4784984,281474976689152,1,19854128,NAN,NAN
4779960,19854128,1,327748,NAN,NAN
4782216,19854128,1,327748,NAN,NAN
4782260,8436168,1,4782528,NAN,NAN
4782528,19854136,1,21573984,NAN,NAN
4782580,281474976689008,2,19854128,4780308,NAN
4782584,281474976688992,2,5,69864992,NAN
4782588,281474976688976,2,5,1,NAN
4782592,281474976688960,2,69864960,1,NAN
4782596,281474976688944,3,281474976689024,69865504,84088272
4780320,19854128,1,327748,NAN,NAN
4780328,10461128,1,19171360,NAN,NAN
7321452,19171392,2,31,1,NAN
7321780,19171384,2,20766976,31,NAN
7321796,19171416,1,1,NAN,NAN
7321812,20767000,1,0,NAN,NAN
7321984,19171400,1,1,NAN,NAN
7322024,281474976689008,2,19854128,4780420,NAN
7322028,281474976688992,2,21582761,19171360,NAN
7322032,281474976688976,2,5,1,NAN
7322036,281474976688960,2,69864960,10458672,NAN
7322040,281474976688944,2,281474976689024,84088272,NAN
4780428,20767000,1,0,NAN,NAN
4781944,10461136,1,0,NAN,NAN
4781984,10465544,1,116711392,NAN,NAN
4781988,10465536,1,116707456,NAN,NAN
4782020,10465528,1,116707456,NAN,NAN
4782052,10465560,1,15,NAN,NAN
4782072,10465520,1,116707328,NAN,NAN
4782076,10465544,1,116711392,NAN,NAN
7205608,9766528,1,4,NAN,NAN
7205664,10492096,1,20843904,NAN,NAN
7205672,20843946,1,446,NAN,NAN
7205680,20843948,1,3650,NAN,NAN
7205692,20844408,1,3,NAN,NAN
7206196,10482936,1,16,NAN,NAN
7206556,20844408,1,3,NAN,NAN
7206584,20843920,1,81657856,NAN,NAN
7206588,281474976688944,2,21582761,5,NAN
7206608,10482936,1,16,NAN,NAN
7206612,10493144,1,35864112,NAN,NAN
7206624,281474976688960,2,69866464,4782120,NAN
7206628,281474976688928,2,10462768,116707456,NAN
7206632,281474976688912,2,10458672,5,NAN
7206636,281474976688896,2,84088272,69864960,NAN
7206640,281474976688880,2,0,69865504,NAN
4782152,281474976689008,2,19854128,4780448,NAN
4782156,281474976688992,2,21582761,0,NAN
4782160,281474976688976,2,281474976689024,20767000,NAN
4780460,116707472,1,0,NAN,NAN
4782924,19854128,1,327748,NAN,NAN
4782952,8436936,1,4783024,NAN,NAN
4783032,9169120,1,9340790,NAN,NAN
4783044,9168484,1,1,NAN,NAN
4783292,9340790,1,115,NAN,NAN
4782996,281474976689008,2,69866464,4780468,NAN
4783000,281474976688992,2,116707456,19854128,NAN
4783004,281474976688976,2,20767000,0,NAN
4783008,281474976688960,2,10458672,5,NAN
4783012,281474976688944,2,84088272,69864960,NAN
4783016,281474976688928,3,281474976689024,0,69865504
4780468,10461096,1,0,NAN,NAN
4781212,10465544,1,116711392,NAN,NAN
4781216,10465536,1,116707488,NAN,NAN
4781252,10465528,1,116707488,NAN,NAN
4781280,10465560,1,15,NAN,NAN
4781300,10465520,1,116707328,NAN,NAN
4781304,10465544,1,116711392,NAN,NAN
4781336,10461104,1,69841984,NAN,NAN
4781352,281474976689104,2,69841984,4785000,NAN
4781356,281474976689088,2,281474976689168,69864992,NAN
4781360,281474976689072,2,10458672,1,NAN
4781364,281474976689056,2,69864960,1,NAN
4781368,281474976689040,2,69865504,84088272,NAN
4781372,281474976689024,2,281474976689120,0,NAN
4785004,69864960,1,61,NAN,NAN
6762632,69864992,1,47,NAN,NAN
6762688,69865000,1,69864960,NAN,NAN
6762692,69864960,1,61,NAN,NAN
6762932,281474976689080,1,4788172,NAN,NAN
6762936,281474976689104,2,69841984,4785084,NAN
6762940,281474976689088,2,281474976689200,69864992,NAN
6762944,281474976689072,2,281474976689120,0,NAN
4788408,69864960,1,2147811389,NAN,NAN
4788444,69864968,1,27470,NAN,NAN
4787116,9913996,1,0,NAN,NAN
4787344,10461088,1,115286016,NAN,NAN
4787352,115505808,2,115505808,0,NAN
4788236,69864960,1,2147811389,NAN,NAN
4788240,10459604,1,55922721,NAN,NAN
4788536,281474976689104,2,69841984,4785084,NAN
4788540,281474976689088,2,281474976689200,69864992,NAN
4788544,281474976689072,2,10458672,0,NAN
4788548,281474976689056,2,69864960,1,NAN
4788552,281474976689040,3,281474976689120,69865504,84088272
4785196,281474976689160,1,69864960,NAN,NAN
4785200,69864960,1,61,NAN,NAN
4785220,281474976689168,2,116707456,0,NAN
4785236,69864968,1,27470,NAN,NAN
6765468,69864960,1,2147811389,NAN,NAN
6765496,8943776,1,6765512,NAN,NAN
6765512,281474976689104,2,69841984,4785252,NAN
6765516,281474976689088,2,0,69864960,NAN
6765520,281474976689072,2,10458672,61,NAN
6765524,281474976689056,3,281474976689120,0,1
4785260,10461088,1,115286016,NAN,NAN
4785268,115505808,1,0,NAN,NAN
4785276,10461112,1,115752960,NAN,NAN
4785280,115752960,2,58217,1,NAN
4785536,10461088,1,115286016,NAN,NAN
4785544,115505808,1,0,NAN,NAN
4785548,10461120,1,0,NAN,NAN
4785652,10465544,1,116711392,NAN,NAN
4785656,10465536,1,116707520,NAN,NAN
4785692,10465528,1,116707520,NAN,NAN
4785720,10465560,1,15,NAN,NAN
4785740,10465520,1,116707328,NAN,NAN
4785744,10465544,1,116711392,NAN,NAN
4785772,10461088,1,115286016,NAN,NAN
4785788,116707472,1,116707488,NAN,NAN
4785808,10461096,1,0,NAN,NAN
4785832,10465544,1,116711392,NAN,NAN
4785836,10465536,1,116707536,NAN,NAN
4785872,10465528,1,116707536,NAN,NAN
4785900,10465560,1,15,NAN,NAN
4785920,10465520,1,116707328,NAN,NAN
